id:ID,label,name,source_file,row_no,core_technology,technology_maturity,possible_scenarios,business_model,delivery_capability,certification_ip,founder_team_and_gap,recent_revenue_profit,competition_and_diff,match_level,:LABEL
ENT_C1A1CD7B1D4B,Enterprise,江苏华生基因数据科技股份有限公司,企业信息暂存.xlsx,12,肿瘤个体化医疗基因检测数据分析、分子生物学软件研发,,,,,,,,,未匹配,Enterprise
ENT_CC33D53F0191,Enterprise,南京模砾半导体有限责任公司,企业信息暂存.xlsx,13,高端数模混合芯片设计；高速高精度ADDA；100V高压电源管理；大规模数模混合开发芯片量产,已具备量产能力，有多颗芯片完成设计流片并导入客户。,高端工业、储能、电动车等领域的芯片国产化替代。,芯片设计服务商，提供集成电路设计、销售及相关技术服务。,拥有完整的数模混合芯片设计研发量产能力，产品已完成设计流片并导入客户。,高新技术企业（2023年），科技型中小企业（2024年）。,创始人/法人代表：许正杰。短板：暂无公开信息。,暂无公开信息。,暂无公开信息。,精确匹配,Enterprise
ENT_E8D622C209F2,Enterprise,中科慧远视觉技术（洛阳）有限公司,企业信息暂存.xlsx,14,工业外观精密检测技术；仿人光学成像；AI算法平台；机器视觉,成熟，已实现国产替代并填补行业空白，产品已落地应用并实现商业化。,精密制造行业的外观检测、质量管控,中科慧远视觉技术(洛阳)有限公司是一家技术解决方案提供商，专注于销售自主研发的工业视觉智能检测装备及系统解决方案。,具备独立研发、生产和交付工业外观视觉检测装备的能力。,国家高新技术企业，国家级专精特新“小巨人”企业，A级纳税人，一般纳税人。,核心团队源自中国科学院自动化研究所，在光学、视觉、控制、智能制造等领域有深厚的技术背景和积累。短板信息暂无。,- **近三年营收及利润**：暂无公开数据。,暂无竞对及技术差异信息，需要额外补齐。,模糊匹配,Enterprise
ENT_A995A0A4B748,Enterprise,重庆中科超容科技有限公司,企业信息暂存.xlsx,15,碳基石墨烯复合材料（高比表面积电极材料）；高耐压电解质技术（电化学窗口3.5V）,已量产高性能核心电极材料、电解质和高能量密度EDLC器件，产品形态涵盖导针型小型单体、焊针型中型单体、激光焊接型大型单体，并可接受尺寸容量定制化。,由超级电容与其他储能器件组成的混合储能系统；对超低内阻、超大功率、超低温使用以及单体更高电压平台有特殊需求的领域。,研发、生产、销售超级电容器及相关产品，并提供电化学储能解决方案和技术服务。,具备量产能力，可接受尺寸容量定制化，并能根据客户要求开发混合储能系统。,高新技术企业、专精特新中小企业、规模以上工业企业。,创始团队由中科院研究员刘双翼带队创建，团队成员包括研究员、副研究员、高级工程师等，拥有十多年功率储能材料及器件的应用基础研究与技术转化开发经验。短板信息暂无。,,,精确匹配,Enterprise
ENT_CC6F05348B36,Enterprise,上海奇绩智峰智能科技有限公司,企业信息暂存.xlsx,16,集成电路芯片设计；计算机软件开发；图像处理、双目立体匹配、人脸识别、智能锁专利,,,,,,团队属于大模型公司第一梯队，是行业老炮+小天才的组合，拥有极高的人才密度和最前沿的认知反馈。团队配置豪华、资源丰富、创业决心较足，并有政府资源支持。,,,精确匹配,Enterprise
ENT_C01129650776,Enterprise,蓝箭科技（衢州）有限公司,企业信息暂存.xlsx,17,防热隔热涂料技术（环氧树脂增韧防热；硅橡胶+碳纤维+纳米陶瓷相填料）,产品已明确型号（LJTR-11，LJTP-31）并定义了具体性能指标（如解决1000℃、1800℃以内热环境问题），表明技术已进入产品化阶段。,其他需要耐高温、隔热、烧蚀防护及三防/四防（防湿热、防霉、防盐雾、防静电）的军用装备、航空航天器部件、高端电子设备。,研发、生产、销售一体化。下设全资子公司及北京分公司，覆盖材料研发、生产制造及技术推广。,核心项目为“年产1000吨军用耐高温防护材料新建项目”，具备规模化生产潜力。具体产能交付数据暂无。,暂无（PDF及网络信息未披露具体认证、资质或专利信息）。,创始团队信息暂无。短板：公司成立于2023年8月，运营时间短；实缴资本（45万人民币）与注册资本（500万人民币）差距较大，可能反映初期资金实力有限。,暂无（公司成立于2023年，无完整财年数据）。,PDF中未提及直接竞对。技术差异：其防热涂料针对1000℃-1800℃高速气动热环境及长时隔热问题，并具备低密度、低热导率、耐烧蚀等特点；三防/四防漆针对军用电子设备防护。,精确匹配,Enterprise
ENT_6A4EE8070FD7,Enterprise,江西国化实业有限公司,企业信息暂存.xlsx,18,电解氟化技术,成熟。2016年自主创新研发电解氟化技术并突破美国封锁，已实现数据中心冷却液系列产品的规模化生产（年产12500吨项目已落户）。,电子设备冷却、其他需要高效热管理的领域。,研发、生产及销售含氟产品的高新技术企业。,具备规模化生产能力，拥有年产12500吨数据中心冷却液系列产品的项目。,高新技术企业；国家级专精特新“小巨人”企业；A级纳税人；历史科技型中小企业。,创始团队信息暂无。短板：原文及搜索结果未明确提及。,暂无（原文及搜索结果未提供具体财务数据）。,竞对信息暂无。技术差异：通过自研电解氟化技术，突破了国外在数据中心冷却液（氟碳化合物）领域的技术封锁，实现了国产化替代。,精确匹配,Enterprise
ENT_3C7CD74718AD,Enterprise,广州力及热管理科技有限公司,企业信息暂存.xlsx,19,电子工程设计服务；电子产品检测；电子产品设计服务；信息电子技术服务；新材料技术推广服务,,,,,高新技术企业；科技型中小企业,,,,精确匹配,Enterprise
ENT_E84ABF776034,Enterprise,墨光新能科技（苏州）有限公司,企业信息暂存.xlsx,20,零能耗被动式辐射制冷技术（微纳结构材料，8-13μm大气窗口高红外发射，超材料）,量产阶段。2023年8月产品量产首发，研究成果发表于顶级期刊《自然》并首次在手机落地。,移动终端、建筑、织物、航空航天、军工等场景的降温或保温需求。,产品销售、联合研发。,具备量产能力。,拥有行业关键核心技术及全产业链的多项专利布局。,创始团队：创始人/首席科学家朱嘉（南京大学能源与资源学院院长，国家杰出青年，斯坦福大学博士）；创始人/董事长/CEO朱斌（南京大学副教授，博士生导师，国家“万人计划”）。短板：公司成立时间较短（2022年7月），规模尚小（员工人数约23-99人）。,,竞对：迈默智塔（无锡）科技有限公司（提供高导热散热涂层，应用领域侧重汽车、轨道交通、航空）。技术差异：墨光新能核心技术为零能耗光热调控（辐射制冷），侧重光谱设计和温控；迈默智塔核心技术为高导热辐射散热涂层，侧重导热和红外发射率。,精确匹配,Enterprise
ENT_0D0600D360F2,Enterprise,西安中科天塔科技股份有限公司,企业信息暂存.xlsx,21,卫星测运控软件、航天云立方平台、华山航天大模型,技术领先，国内最早从事卫星管理相关产品研发与产业化；核心团队航天经验平均20+年，曾管理我国200多颗在轨卫星，参与载人航天、探月工程等十余项重大航天工程系统研发。,森林碳汇检测、碳交易数据服务、更广泛的政府环境与资源监管、智慧城市基础设施建设监测。,提供软硬件产品、技术服务和系统集成解决方案。,具备卫星测运控系统、碳中和监测平台等软硬件产品及解决方案的交付能力，核心团队有重大航天工程系统研发经验。,高新技术企业（推断）；核心团队曾获国家科技进步二等奖、部委级科技进步奖逾30项、中国航天基金奖、中国载人航天工程突出贡献奖。,创始团队技术背景雄厚：总经理曾伟刚为前西安卫星测控中心软件室副主任；CTO董卫华为前西安卫星测控中心软件室主任；市场负责人景振龙有大型企业市场及项目经验。短板：原文未明确提及。,暂无（原文未提及）。,暂无（原文未提及具体竞争对手及技术差异）。,精确匹配,Enterprise
ENT_48510E2FE34E,Enterprise,光宇元芯（杭州）光电有限责任公司,企业信息暂存.xlsx,22,晶体外延技术；Nano LED半导体纳米级工艺；高精度晶圆键合；RGB单片整体集成,国内领先水平，处于可量产工艺阶段，部分环节需要额外补齐。,- 元宇宙人机接口设备（AR、VR等）。,暂无明确信息，需进一步补充。,暂无明确信息，需额外补齐。,- 需要额外补齐 - 公司创始人拥有50多项在职专利申请成功或在审批过程中。,创始团队：公司由海外知名半导体公司、知名终端设备公司归国团队共同创办。创始人兼CEO于澜，曾任职IBM、Applied Materials，拥有多年海外研究经历及SAG底层技术创新与量产应用经验。COO杨韬，拥有UIUC电子工程学士、硕士及哥伦比亚大学商学院金融经济学硕士学位，曾任美国银行美林证券股票交易员，负责融资、政府关系、产线建设及供应链管理。 短板：暂无明确提及。,近三年营收及利润信息：暂无公开数据。,暂无具体竞争对手及技术差异信息。,模糊匹配,Enterprise
ENT_85CEF884C821,Enterprise,深圳扑浪量子半导体有限公司,企业信息暂存.xlsx,23,半导体量子点发光材料；新型量子点显示工艺；半导体薄膜工艺设备,拥有自主知识产权和核心技术，申请国内外专利150余件，能够自行设计量子点生产设备，是国内少数具备量子点材料设计、制备和应用产品能力的厂商。,,研发、生产与销售,,国家级创新创业大赛优秀企业和创新创业50强企业，省级专精特新中小企业，申请国内外专利150余件。,董事长为张志宽，技术依托于南方科技大学。具体团队构成及短板暂无详细信息。,,,精确匹配,Enterprise
ENT_2153877D1CBE,Enterprise,大同共聚（西安）科技有限公司,企业信息暂存.xlsx,24,高性能聚酰亚胺（PI）树脂合成技术、无胶挠性覆铜板（FCCL）制备技术、功能型 PI 薄膜与复合材料技术,处于中试阶段（根据获得‘中试贷’推断）,,,,拥有专利（具体信息暂无）,法定代表人：聂新宇（任职30家企业）。短板：暂无,,,精确匹配,Enterprise
ENT_09B9A1BA69E6,Enterprise,西安中科立德红外科技有限公司,企业信息暂存.xlsx,25,红外热像技术,,,,,小巨人企业,创始人刘伟，由中科院西光所孵化。短板信息暂无。,,,精确匹配,Enterprise
ENT_FA343A79089A,Enterprise,湖南新锋科技有限公司,企业信息暂存.xlsx,26,掺硼金刚石（BDD）电极材料及制备工艺；大尺寸、大面积金刚石电极制造技术；基于气相沉积技术的半导体、生态健康、光电声热力功能材料研发与生产,成熟，已实现大尺寸、低成本量产，产品价格仅为进口产品的10%，并在多个工业领域实现标志性工程项目应用。,其他高难度难降解有机废水处理领域（如垃圾渗滤液等）；电催化电极相关应用；半导体、光电声热力功能材料的其他潜在应用。,产品销售（BDD电极系列产品、水处理设备从小试装置到工程化装置）；工程项目应用。,具备从试验检测分析的小试装置、废水废液工程处理的工程化模组到工程化使用的装置等系列产品的交付能力，已在多个领域完成标志性工程项目。,高新技术企业、专精特新中小企业、科技型中小企业（根据网络信息）。核心技术源自中南大学气相沉积技术与薄膜材料研究室，拥有自研设备和工艺技术。,核心团队为中南大学魏秋平教授团队，拥有20余年的金刚石研究经验，被同行认为引领全球BDD研发方向。短板：暂无。,,竞对主要为进口BDD电极产品。技术差异：公司通过自研设备和工艺技术，实现了大尺寸、低成本量产，产品价格仅为进口产品的10%，性价比高，实现国产替代。,精确匹配,Enterprise
ENT_C7BA559D252F,Enterprise,西安声海智能科技有限公司,企业信息暂存.xlsx,27,人工智能语音技术算法开发与产品研发，语音降噪算法、麦克风阵列设计、MIMO信号处理,在语音降噪算法、麦克风阵列设计、MIMO信号处理等方面处于国际领先水平；已推出多款成熟产品。,基于其远场拾音和复杂场景音频处理技术，可能应用于智能会议、智能家居、车载语音、公共安全监控、远程协作等需要高质量语音捕获与处理的场景。,为行业头部客户提供专业声学产品及服务，包括定制解决方案。,,国家高新技术企业，科技型中小企业。,由西北工业大学“水下信息处理与控制”国防重点实验室首席科学家陈景东发起设立。短板信息暂无。,,PDF原文提及“目前业界声学前段参与的企业少，几乎没有专注远场拾音的成熟厂商”，暗示其在远场拾音细分领域具有先发和技术专注优势。,精确匹配,Enterprise
ENT_6436C64466AD,Enterprise,青岛中科国晟动力科技有限公司,企业信息暂存.xlsx,28,轻型燃气轮机（用于分布式能源发电、舰船驱动、大型压缩机/泵、海上油气平台等）的研发、部件试验、整机装配生产、整机试车调试、整机销售及维护服务,A轮融资阶段，已形成核心自主知识产权，具备研发、试验、生产、调试能力,,燃气轮机整机销售及维护服务,具备整机装配生产、整机试车调试能力,国家高新技术企业，专精特新企业，形成企业核心自主知识产权,由中国科学院工程热物理研究所、城发投资集团有限公司、青岛军民融合发展集团有限公司共同出资设立,,,精确匹配,Enterprise
ENT_4381C16962EE,Enterprise,深圳劲芯微电子有限公司,企业信息暂存.xlsx,29,无线充电芯片设计（Qi标准）、高集成SoC架构、多相位电荷泵驱动电路、PD快充协议集成技术,高。公司成立于2013年，产品已实现商业化量产。2015年至2023年，其芯片在亚马逊无线充电类目每年均为销冠。产品支持多种快充协议和Qi最新标准，并已推出多款成熟SoC芯片。,智能家居设备充电、医疗设备无线充电、工业设备无线供电、物联网设备供电。,芯片设计、研发与销售（Fabless模式），提供芯片及配套快充方案设计。,具备芯片研发、设计及方案支持能力。作为Fabless公司，芯片制造和封装依赖合作伙伴，但拥有成熟的产品线和量产经验。,国家高新技术企业、国家专精特新“小巨人”企业。产品支持Qi等国际标准认证。具体专利数量暂无。,核心团队来自美国国家半导体、NXP以及富士通，拥有20-30年芯片设计经验。创始人邵礼斌有12年富士通微电子工作经历，曾筹建富士通半导体在国内的第一个IC设计中心。短板：网络信息显示员工人数为0（可能为信息未更新或统计口径问题），具体研发人员规模及最新融资后发展短板暂无明确信息。,暂无公开数据。公司已于2021年完成C轮融资，处于持续发展阶段。,国内无线充电芯片领域的主要竞争者可能包括伏达半导体、易冲无线等。技术差异：劲芯微强调其“国内首个无线充电发射芯片”、“国内首个推出15W无线充电接收芯片”、“全球首款一芯双充芯片系统”等创新，以及在多线圈、高功率无线充电方案上的技术积累。,精确匹配,Enterprise
ENT_E88E8F323792,Enterprise,北京临一云川能源技术有限公司,企业信息暂存.xlsx,30,高空风力发电技术，专注于涵道式浮空发电技术路线。已成功试飞全球首台兆瓦级S2000浮空风力发电系统，并在2000米高空完成并网测试,技术已进入实际测试和应用阶段，成功实现500米及2000米高空发电并网测试，S1500和S2000型号已积累近5亿元订单。,偏远地区、海岛、高原等传统风电难以覆盖区域的电力供应；作为分布式能源补充；特定工业场景的绿色供电。,技术研发、设备制造与销售、发电运营服务。获得风险投资（种子+轮融资）用于研发和产能建设。,已形成完备的研发、设计、制造及运营团队。计划在舟山建立高性能材料基地以提升产能。,国家级高新技术企业、省级专精特新中小企业。,创始团队信息不详。董事长为顿天瑞。公司与清华大学等科研机构有合作。短板可能包括：作为2023年成立的新公司，市场验证和规模化运营经验可能相对有限；高空风电属于前沿技术，面临技术稳定性、安全监管、成本控制等多重挑战。,暂无（公司成立于2023年，无完整三年财务数据）。,暂无直接竞对信息。技术差异在于其专注于“涵道式浮空发电”这一特定高空风电技术路线，并已实现高空并网测试和订单积累，在技术高度和功率上刷新行业纪录。,精确匹配,Enterprise
ENT_B4DC4105E42D,Enterprise,风脉能源（武汉）股份有限公司,企业信息暂存.xlsx,31,新能源项目全生命周期管理技术、智慧化资产管理平台、风电/光伏/储能项目开发与“交钥匙”服务能力、国际化项目开发及管理能力,成熟。公司成立于2009年，已服务项目超过3500项，管理资产总装机容量超过10GW，具备从开发到运维的全链条技术支撑和交付能力。,新能源资产智慧化管理、存量资产优化运营、海外新能源项目开发与管理、为产业资源整合提供技术解决方案。,新能源项目投资开发、EPC“交钥匙”服务、资产管理解决方案提供、集约化智能化运维管理服务。,具备全生命周期项目管理和“交钥匙”服务交付能力。项目遍布全国多个省市及美国、欧洲、非洲等海外地区。,高新技术企业。基于自主研发的智慧化产品提供服务。具体资质证书名称未披露。,法人/创始人为叶毅。团队是第三方中少有的具备国际化项目开发及管理能力的团队。短板信息未披露。,暂无。网络公开信息未披露具体财务数据。,竞对信息未披露。技术差异：自称是第三方中少有的具备国际化项目开发及管理能力的团队，拥有基于全价值链的技术支撑和自主研发的智慧化产品，提供从开发到运维的全链条服务。,精确匹配,Enterprise
ENT_61C01ABA8167,Enterprise,北京中科海钠科技有限责任公司,企业信息暂存.xlsx,32,钠离子电池核心材料（正极/负极/电解液）、电芯、模组、BMS,已实现产业化。公司是全球首家发布钠离子电池低速电动车、储能系统的企业，电芯产品已定型。,电动汽车、国家安全领域（根据网络资料）。,研发、生产与销售钠离子电池材料、电芯及储能系统。,具备钠离子电池材料、电芯及储能系统的供应能力，具体产能规模暂无。,高新技术企业、专精特新中小企业；拥有多项钠离子电池核心专利。,创始团队技术背景深厚：创始人兼董事长胡勇胜博士（中科院物理所研究员、国家杰青、万人计划专家）、CEO唐堃博士（曾任国家能源投资集团电池材料部门经理），均师从陈立泉院士。短板：资料未明确提及管理、市场或融资等方面的短板。,,竞对：传统锂电池（如磷酸铁锂）和铅酸电池。技术差异：钠离子电池定位为“锂电池的性能+铅酸电池的价格”，旨在解决锂资源卡脖子风险，具有成本优势和供应链安全性。,精确匹配,Enterprise
