id:ID,label,name,normalized_name,source_file,:LABEL
CUS_E859289A8631,Customer,华能西安热工研究院,华能西安热工研究院,company-info_with_url.xlsx,Customer
CUS_1DAE76B88A91,Customer,中国商飞（战略合作）,中国商飞（战略合作）,company-info_with_url.xlsx,Customer
CUS_265686C4E237,Customer,中核集团,中核集团,company-info_with_url.xlsx,Customer
CUS_7044CA252D3F,Customer,中国中车,中国中车,company-info_with_url.xlsx,Customer
CUS_EE716CE08EEA,Customer,中国石油,中国石油,company-info_with_url.xlsx,Customer
CUS_15049FB46742,Customer,国家电网,国家电网,company-info_with_url.xlsx,Customer
CUS_FE96C8F230DC,Customer,中航工业,中航工业,company-info_with_url.xlsx,Customer
CUS_97B401170ADD,Customer,中船重工,中船重工,company-info_with_url.xlsx,Customer
CUS_D452F7D604CE,Customer,清华大学,清华大学,company-info_with_url.xlsx,Customer
CUS_6B13AFE457C3,Customer,上海交通大学,上海交通大学,company-info_with_url.xlsx,Customer
CUS_CA679F7C54C3,Customer,同济大学,同济大学,company-info_with_url.xlsx,Customer
CUS_DE960164E66D,Customer,拜耳,拜耳,company-info_with_url.xlsx,Customer
CUS_B8BC70B6C5D3,Customer,霍尼韦尔,霍尼韦尔,company-info_with_url.xlsx,Customer
SUP_8244598DD732,Supplier,核心传感元件供应商,核心传感元件供应商,company-info_with_url.xlsx,Supplier
DEM_DE1CE6ED423B,DemandTag,暂无明确信息。,暂无明确信息。,company-info_with_url.xlsx,DemandTag
PROD_074452A9DF9B,Product,单曝光高速视频,单曝光高速视频,company-info_with_url.xlsx,Product
PROD_25126CDF9973,Product,单曝光高光谱成像,单曝光高光谱成像,company-info_with_url.xlsx,Product
PROD_50EFC559669D,Product,单曝光3D检测,单曝光3d检测,company-info_with_url.xlsx,Product
CAP_0C87AB04E79B,Capability,单曝光压缩成像技术（AI+计算成像,单曝光压缩成像技术（ai+计算成像,company-info_with_url.xlsx,Capability
CAP_59713B98F245,Capability,光学编码+AI算法,光学编码+ai算法,company-info_with_url.xlsx,Capability
CAP_8B4BE451B994,Capability,压缩采集重建）,压缩采集重建）,company-info_with_url.xlsx,Capability
IND_6DF57817B4CF,Industry,工业检测,工业检测,company-info_with_url.xlsx,Industry
IND_3EA2EAF298BF,Industry,光谱检测。,光谱检测。,company-info_with_url.xlsx,Industry
SCN_ABAC0B532F02,Scenario,1. 沥青路面老化程度,1. 沥青路面老化程度,company-info_with_url.xlsx,Scenario
SCN_08D585043D0C,Scenario,病害类型识别,病害类型识别,company-info_with_url.xlsx,Scenario
SCN_5228FCFBB44D,Scenario,2. 桥梁梁体,2. 桥梁梁体,company-info_with_url.xlsx,Scenario
SCN_F9BA5EC9AFC4,Scenario,桥面,桥面,company-info_with_url.xlsx,Scenario
SCN_A90BE34D63A5,Scenario,桥墩等所有暴露表面进行大规模,桥墩等所有暴露表面进行大规模,company-info_with_url.xlsx,Scenario
SCN_BE5C5BF8FBA0,Scenario,无接触的扫描,无接触的扫描,company-info_with_url.xlsx,Scenario
SCN_E4C400967F41,Scenario,识别混凝土表面露筋病害,识别混凝土表面露筋病害,company-info_with_url.xlsx,Scenario
SCN_BEC5DAFB0C60,Scenario,3. 原料检测（如高粱样品）,3. 原料检测（如高粱样品）,company-info_with_url.xlsx,Scenario
SCN_E61C6045149E,Scenario,4. 水域监测（如河道水域巡检,4. 水域监测（如河道水域巡检,company-info_with_url.xlsx,Scenario
SCN_7291444053EB,Scenario,总氮和总磷检测）,总氮和总磷检测）,company-info_with_url.xlsx,Scenario
SCN_854CFD19C6EF,Scenario,5. 深基坑施工现场渗水预警。,5. 深基坑施工现场渗水预警。,company-info_with_url.xlsx,Scenario
CUS_12B300C25985,Customer,中国林业科学研究院亚热带林业研究所（已中标189万元科研设备）,中国林业科学研究院亚热带林业研究所（已中标189万元科研设备）,company-info_with_url.xlsx,Customer
CUS_BACF3F98AA2F,Customer,西湖大学（成果转化合作）,西湖大学（成果转化合作）,company-info_with_url.xlsx,Customer
SUP_51F6933720BD,Supplier,摄像头,摄像头,company-info_with_url.xlsx,Supplier
DEM_943A35E60483,DemandTag,资金（用于持续提升核心技术,资金（用于持续提升核心技术,company-info_with_url.xlsx,DemandTag
DEM_D15BF79C9C84,DemandTag,加速产品开发）,加速产品开发）,company-info_with_url.xlsx,DemandTag
DEM_D8353B7C707A,DemandTag,产业合作伙伴（用于应用场景落地与市场拓展）,产业合作伙伴（用于应用场景落地与市场拓展）,company-info_with_url.xlsx,DemandTag
DEM_46E73602ADD1,DemandTag,供应链与生产资源（用于实现产品芯片化与大规模量产）。,供应链与生产资源（用于实现产品芯片化与大规模量产）。,company-info_with_url.xlsx,DemandTag
PROD_01EEED57CCD0,Product,Mantis系列超高分辨率监控相机,mantis系列超高分辨率监控相机,company-info_with_url.xlsx,Product
PROD_45E5AD2D7607,Product,Pathfinder系列通道式监控相机,pathfinder系列通道式监控相机,company-info_with_url.xlsx,Product
CAP_799D3B66E7B1,Capability,阵列式多尺度超高清计算相机技术（仿生复眼架构）,阵列式多尺度超高清计算相机技术（仿生复眼架构）,company-info_with_url.xlsx,Capability
CAP_B015B32452B7,Capability,空间数据采集,空间数据采集,company-info_with_url.xlsx,Capability
CAP_7D8F9C918AE0,Capability,空间大脑计算平台,空间大脑计算平台,company-info_with_url.xlsx,Capability
IND_0D12389EC411,Industry,安防监控,安防监控,company-info_with_url.xlsx,Industry
IND_E8D3BD920DCB,Industry,国防军工,国防军工,company-info_with_url.xlsx,Industry
IND_E07B28F3FA8B,Industry,交通管理（高速公路,交通管理（高速公路,company-info_with_url.xlsx,Industry
IND_59367DE742D0,Industry,城市道路）,城市道路）,company-info_with_url.xlsx,Industry
IND_6DE90305B7F6,Industry,港口机场,港口机场,company-info_with_url.xlsx,Industry
IND_4B5CAF5A3BBD,Industry,大型场馆,大型场馆,company-info_with_url.xlsx,Industry
IND_4D4DEF2039C7,Industry,水利枢纽,水利枢纽,company-info_with_url.xlsx,Industry
IND_240187F522E5,Industry,工业检测等。,工业检测等。,company-info_with_url.xlsx,Industry
SCN_53A3F32527DC,Scenario,广场集散地,广场集散地,company-info_with_url.xlsx,Scenario
SCN_C8B121689F5B,Scenario,港口机场,港口机场,company-info_with_url.xlsx,Scenario
SCN_8266CD6CE487,Scenario,大型企业等高价值设施区域监控,大型企业等高价值设施区域监控,company-info_with_url.xlsx,Scenario
SCN_7329E10A4655,Scenario,高速公路,高速公路,company-info_with_url.xlsx,Scenario
SCN_CD8393929AA9,Scenario,城市重要道路,城市重要道路,company-info_with_url.xlsx,Scenario
SCN_4626E5AAA4D9,Scenario,周界等长距离纵深矩形区域监控,周界等长距离纵深矩形区域监控,company-info_with_url.xlsx,Scenario
SCN_DE9EDC979115,Scenario,赛事场馆智能个性化视角直播,赛事场馆智能个性化视角直播,company-info_with_url.xlsx,Scenario
SCN_C861BDDB7CA0,Scenario,转播,转播,company-info_with_url.xlsx,Scenario
SCN_441B4C8D3AF1,Scenario,智慧工地,智慧工地,company-info_with_url.xlsx,Scenario
SCN_2C83BD54000D,Scenario,高点超高清全时空智能感知布控。,高点超高清全时空智能感知布控。,company-info_with_url.xlsx,Scenario
CUS_3D6FAE60EF63,Customer,公安部,公安部,company-info_with_url.xlsx,Customer
CUS_681F1AF821E5,Customer,国家重点国防项目,国家重点国防项目,company-info_with_url.xlsx,Customer
CUS_A81FE7341CE6,Customer,北京两会,北京两会,company-info_with_url.xlsx,Customer
CUS_E0331F020D5D,Customer,冬奥会,冬奥会,company-info_with_url.xlsx,Customer
CUS_8B1F931168DC,Customer,上海建党百年大庆等重大活动安全保障单位,上海建党百年大庆等重大活动安全保障单位,company-info_with_url.xlsx,Customer
CUS_C78DE65BED13,Customer,机场,机场,company-info_with_url.xlsx,Customer
CUS_EE55660CC2EA,Customer,港口,港口,company-info_with_url.xlsx,Customer
CUS_DFA872CCE788,Customer,场馆,场馆,company-info_with_url.xlsx,Customer
CUS_C5781663AF90,Customer,部队,部队,company-info_with_url.xlsx,Customer
CUS_5512C3542B85,Customer,智慧城市等项目方,智慧城市等项目方,company-info_with_url.xlsx,Customer
SUP_27E7EA8A1459,Supplier,工业相机,工业相机,company-info_with_url.xlsx,Supplier
SUP_7204AA5F0E6D,Supplier,AI芯片供应商,ai芯片供应商,company-info_with_url.xlsx,Supplier
PROD_3E553A435EA0,Product,逐光IsCMOS像增强相机,逐光iscmos像增强相机,company-info_with_url.xlsx,Product
PROD_C6EA20EAAEDF,Product,逐光2DSPC单光子相机,逐光2dspc单光子相机,company-info_with_url.xlsx,Product
PROD_AAF9DA15FD2C,Product,手持式,手持式,company-info_with_url.xlsx,Product
PROD_DB119CFD8A0F,Product,固定式穿透成像仪,固定式穿透成像仪,company-info_with_url.xlsx,Product
CAP_6D1F01947C46,Capability,时间门控成像,时间门控成像,company-info_with_url.xlsx,Capability
CAP_3B9CB9716396,Capability,单光子探测,单光子探测,company-info_with_url.xlsx,Capability
CAP_8B9A8F9F1CC3,Capability,皮秒级时间分辨,皮秒级时间分辨,company-info_with_url.xlsx,Capability
CAP_5572D2D87618,Capability,激光穿透成像,激光穿透成像,company-info_with_url.xlsx,Capability
IND_CDD0E77494E1,Industry,科研领域（量子计算,科研领域（量子计算,company-info_with_url.xlsx,Industry
IND_75D30ADF5F7A,Industry,可控核聚变,可控核聚变,company-info_with_url.xlsx,Industry
IND_3C539194A26B,Industry,发动机燃烧诊断,发动机燃烧诊断,company-info_with_url.xlsx,Industry
IND_8D55994FD8B9,Industry,光电材料性能分析,光电材料性能分析,company-info_with_url.xlsx,Industry
IND_F7E0AC1FB0FE,Industry,等离子体诊断）,等离子体诊断）,company-info_with_url.xlsx,Industry
IND_C4F64657A19F,Industry,行业领域（消防救援,行业领域（消防救援,company-info_with_url.xlsx,Industry
IND_401FCA1A829D,Industry,刑侦取证,刑侦取证,company-info_with_url.xlsx,Industry
IND_4A0AFA087E3E,Industry,车载辅助安全驾驶,车载辅助安全驾驶,company-info_with_url.xlsx,Industry
IND_C8C92DDA3E3F,Industry,焊接在线监测,焊接在线监测,company-info_with_url.xlsx,Industry
IND_EFC0AC33B948,Industry,交通监控,交通监控,company-info_with_url.xlsx,Industry
IND_3FB7B58C7510,Industry,地铁障碍物检测,地铁障碍物检测,company-info_with_url.xlsx,Industry
IND_FC56DC295892,Industry,机动车车窗抓拍,机动车车窗抓拍,company-info_with_url.xlsx,Industry
IND_E5A0F852F7D0,Industry,透雾成像）。,透雾成像）。,company-info_with_url.xlsx,Industry
SCN_264071B0A29D,Scenario,科研实验中的超快时间探测与极限灵敏度成像,科研实验中的超快时间探测与极限灵敏度成像,company-info_with_url.xlsx,Scenario
SCN_10BDC7263005,Scenario,工业在线监测（焊接,工业在线监测（焊接,company-info_with_url.xlsx,Scenario
SCN_85F9BC331C33,Scenario,发动机诊断）,发动机诊断）,company-info_with_url.xlsx,Scenario
SCN_94EF726B368A,Scenario,安防监控（交通,安防监控（交通,company-info_with_url.xlsx,Scenario
SCN_D1DDC82C5D3E,Scenario,地铁障碍物检测,地铁障碍物检测,company-info_with_url.xlsx,Scenario
SCN_244076AF6A89,Scenario,车窗抓拍）,车窗抓拍）,company-info_with_url.xlsx,Scenario
SCN_AA14B40A49AA,Scenario,特殊环境成像（消防救援,特殊环境成像（消防救援,company-info_with_url.xlsx,Scenario
SCN_BFF6C387AB43,Scenario,刑侦取证,刑侦取证,company-info_with_url.xlsx,Scenario
SCN_677ACE9F46CC,Scenario,透雾,透雾,company-info_with_url.xlsx,Scenario
SCN_6E73D22CC4B1,Scenario,透雨雪烟等恶劣天气）。,透雨雪烟等恶劣天气）。,company-info_with_url.xlsx,Scenario
CUS_0DEB240A3DE2,Customer,服务100+高等学府及科研机构（物理科学,服务100+高等学府及科研机构（物理科学,company-info_with_url.xlsx,Customer
CUS_6717F1F3A2D0,Customer,能源科学,能源科学,company-info_with_url.xlsx,Customer
CUS_F2170A17420A,Customer,生命科学,生命科学,company-info_with_url.xlsx,Customer
CUS_198FC6693187,Customer,材料科学,材料科学,company-info_with_url.xlsx,Customer
CUS_6DA20B6064F0,Customer,量子光学等领域）,量子光学等领域）,company-info_with_url.xlsx,Customer
CUS_A75A20CA759A,Customer,国家重大仪器专项支持（6000余万元）,国家重大仪器专项支持（6000余万元）,company-info_with_url.xlsx,Customer
SUP_C19893C925D3,Supplier,超快激光器,超快激光器,company-info_with_url.xlsx,Supplier
SUP_3DEE6DFF9420,Supplier,单光子探测器供应商,单光子探测器供应商,company-info_with_url.xlsx,Supplier
DEM_5FDE69C8B671,DemandTag,资金（用于产品研发,资金（用于产品研发,company-info_with_url.xlsx,DemandTag
DEM_73310F38CBCA,DemandTag,市场拓展,市场拓展,company-info_with_url.xlsx,DemandTag
DEM_E4AD22726BDC,DemandTag,优化生产流程及科研产品库存备货,优化生产流程及科研产品库存备货,company-info_with_url.xlsx,DemandTag
DEM_A2D2B3FF0EF1,DemandTag,根据其A轮融资信息推断）,根据其a轮融资信息推断）,company-info_with_url.xlsx,DemandTag
DEM_AA778343CDE1,DemandTag,市场渠道资源,市场渠道资源,company-info_with_url.xlsx,DemandTag
DEM_3B0A57DA9349,DemandTag,高端研发人才,高端研发人才,company-info_with_url.xlsx,DemandTag
DEM_CD288F911333,DemandTag,产业链合作伙伴。,产业链合作伙伴。,company-info_with_url.xlsx,DemandTag
PROD_0D85673058EF,Product,微型光谱分析芯片,微型光谱分析芯片,company-info_with_url.xlsx,Product
PROD_6594ED5A73F3,Product,可穿戴光谱健康监测设备,可穿戴光谱健康监测设备,company-info_with_url.xlsx,Product
CAP_38A7F1216D7F,Capability,片上光电集成芯片技术（片上计量级光谱仪,片上光电集成芯片技术（片上计量级光谱仪,company-info_with_url.xlsx,Capability
CAP_817AFD09475F,Capability,光谱分析探测芯片,光谱分析探测芯片,company-info_with_url.xlsx,Capability
CAP_53989F81C252,Capability,通信光交换芯片,通信光交换芯片,company-info_with_url.xlsx,Capability
CAP_87DA4DB1C4D0,Capability,硬件芯片化设计）,硬件芯片化设计）,company-info_with_url.xlsx,Capability
IND_497DBEC023FD,Industry,消费市场,消费市场,company-info_with_url.xlsx,Industry
IND_6C1EE4ABC97A,Industry,医疗诊断,医疗诊断,company-info_with_url.xlsx,Industry
IND_FCF9D5C797C6,Industry,食品检测,食品检测,company-info_with_url.xlsx,Industry
SCN_3680737CE8C2,Scenario,无创健康监测,无创健康监测,company-info_with_url.xlsx,Scenario
SCN_8A9803976DA0,Scenario,覆盖短红外波段,覆盖短红外波段,company-info_with_url.xlsx,Scenario
CUS_A8FCDC8D5194,Customer,小米（智能手表芯片级光谱仪健康监测合作）,小米（智能手表芯片级光谱仪健康监测合作）,company-info_with_url.xlsx,Customer
CUS_180D95A68450,Customer,酒水生产线质检厂商,酒水生产线质检厂商,company-info_with_url.xlsx,Customer
SUP_AF8C1742B561,Supplier,光谱仪核心芯片,光谱仪核心芯片,company-info_with_url.xlsx,Supplier
SUP_F21F1C063749,Supplier,探测器供应商,探测器供应商,company-info_with_url.xlsx,Supplier
PROD_9793D7D00CF4,Product,深海浮力材料,深海浮力材料,company-info_with_url.xlsx,Product
PROD_72DBD0466B30,Product,深海浮球,深海浮球,company-info_with_url.xlsx,Product
PROD_962564D18451,Product,低温复合绝热层,低温复合绝热层,company-info_with_url.xlsx,Product
PROD_AD9DB27DAC25,Product,空天,空天,company-info_with_url.xlsx,Product
PROD_F43DF376304B,Product,海洋,海洋,company-info_with_url.xlsx,Product
PROD_9EB40E9BC58A,Product,建筑工程新材料,建筑工程新材料,company-info_with_url.xlsx,Product
CAP_0A8C3082015C,Capability,空心玻璃微球软化学法制备技术,空心玻璃微球软化学法制备技术,company-info_with_url.xlsx,Capability
IND_33F7D3771380,Industry,化学原料,化学原料,company-info_with_url.xlsx,Industry
IND_5E55513BAFF9,Industry,化学制品,化学制品,company-info_with_url.xlsx,Industry
IND_9A2ABECB2877,Industry,原材料和加工,原材料和加工,company-info_with_url.xlsx,Industry
IND_6097B91873E2,Industry,学术,学术,company-info_with_url.xlsx,Industry
IND_0E81FFC0E42E,Industry,科研,科研,company-info_with_url.xlsx,Industry
CUS_6CB44B0C88BD,Customer,西安交通大学,西安交通大学,company-info_with_url.xlsx,Customer
CUS_07BCEEE91B74,Customer,中科院工程热物理研究所,中科院工程热物理研究所,company-info_with_url.xlsx,Customer
CUS_8237BEB8CD64,Customer,航空发动机研究院,航空发动机研究院,company-info_with_url.xlsx,Customer
CUS_29787DC4DE76,Customer,宁德时代,宁德时代,company-info_with_url.xlsx,Customer
CUS_98EFE3FBBB2A,Customer,华大基因等60+科研机构,华大基因等60+科研机构,company-info_with_url.xlsx,Customer
SUP_99A5FB5616C3,Supplier,空心玻璃微球原材料供应商,空心玻璃微球原材料供应商,company-info_with_url.xlsx,Supplier
PROD_30D39D5738EB,Product,压力变送器系列（高频响,压力变送器系列（高频响,company-info_with_url.xlsx,Product
PROD_DFDA909EA212,Product,高精度,高精度,company-info_with_url.xlsx,Product
PROD_8E51DF96600B,Product,高温,高温,company-info_with_url.xlsx,Product
PROD_E0A3CAB6BF4C,Product,小型,小型,company-info_with_url.xlsx,Product
PROD_FA06BBDC3404,Product,微压）,微压）,company-info_with_url.xlsx,Product
PROD_6F221305F40E,Product,温压一体化变送器,温压一体化变送器,company-info_with_url.xlsx,Product
PROD_CA3B26A6AAD8,Product,液位变送器,液位变送器,company-info_with_url.xlsx,Product
PROD_8928AA20D57C,Product,流量计,流量计,company-info_with_url.xlsx,Product
CAP_DCF3E2181798,Capability,硅基压力传感器技术,硅基压力传感器技术,company-info_with_url.xlsx,Capability
CAP_ABB8AAB79E25,Capability,金属电容真空计及变送器技术,金属电容真空计及变送器技术,company-info_with_url.xlsx,Capability
CAP_F193ECAA9FFE,Capability,陶瓷电容压力传感器技术,陶瓷电容压力传感器技术,company-info_with_url.xlsx,Capability
CAP_B12F34C02076,Capability,应变计压力传感器技术,应变计压力传感器技术,company-info_with_url.xlsx,Capability
CAP_5170AF08EB8B,Capability,温度及流量传感器技术,温度及流量传感器技术,company-info_with_url.xlsx,Capability
CAP_F9203CBBCBB5,Capability,具备从芯片设计,具备从芯片设计,company-info_with_url.xlsx,Capability
CAP_8280ADB2B478,Capability,制作,制作,company-info_with_url.xlsx,Capability
CAP_58CE03F03315,Capability,封装到传感器装调,封装到传感器装调,company-info_with_url.xlsx,Capability
CAP_DE4914F1A665,Capability,测试的全流程能力,测试的全流程能力,company-info_with_url.xlsx,Capability
CAP_EAC3E28DDCD1,Capability,依托6英寸高水平MEMS流片线实现芯片自主可控,依托6英寸高水平mems流片线实现芯片自主可控,company-info_with_url.xlsx,Capability
IND_220D9B605E00,Industry,电力行业（发电站,电力行业（发电站,company-info_with_url.xlsx,Industry
IND_4BA4FD1D8806,Industry,变压器,变压器,company-info_with_url.xlsx,Industry
IND_E6309709B8A2,Industry,开关柜）,开关柜）,company-info_with_url.xlsx,Industry
IND_197CF2D04B2E,Industry,新能源（储能电池,新能源（储能电池,company-info_with_url.xlsx,Industry
IND_87F70266F6E0,Industry,动力电池,动力电池,company-info_with_url.xlsx,Industry
IND_5029E3FB40E8,Industry,氢燃料电池）,氢燃料电池）,company-info_with_url.xlsx,Industry
IND_910619F503DA,Industry,大健康（养老院,大健康（养老院,company-info_with_url.xlsx,Industry
IND_573D0A88872D,Industry,民用床垫,民用床垫,company-info_with_url.xlsx,Industry
IND_0D6AF8581A32,Industry,宠物）,宠物）,company-info_with_url.xlsx,Industry
IND_4005DFF1B936,Industry,安防（机场,安防（机场,company-info_with_url.xlsx,Industry
IND_81D9C7D9F24F,Industry,地铁,地铁,company-info_with_url.xlsx,Industry
IND_0A30C75CBDF6,Industry,基础设施围栏）,基础设施围栏）,company-info_with_url.xlsx,Industry
IND_9956C3935F06,Industry,智慧城市（管道泄漏,智慧城市（管道泄漏,company-info_with_url.xlsx,Industry
IND_F331093D2F52,Industry,大型建筑物,大型建筑物,company-info_with_url.xlsx,Industry
IND_05BE557BF9F3,Industry,植物园监测）,植物园监测）,company-info_with_url.xlsx,Industry
IND_ED92C7DD5C3B,Industry,军方,军方,company-info_with_url.xlsx,Industry
SCN_DEE18E211FF7,Scenario,①电力光纤局放传感器系统（新加坡变压器,①电力光纤局放传感器系统（新加坡变压器,company-info_with_url.xlsx,Scenario
SCN_D45A703D091C,Scenario,葛洲坝发电站）,葛洲坝发电站）,company-info_with_url.xlsx,Scenario
SCN_A67DEEC31E5F,Scenario,②生命体征监测仪（养老院,②生命体征监测仪（养老院,company-info_with_url.xlsx,Scenario
SCN_22C87F816F59,Scenario,民用床垫,民用床垫,company-info_with_url.xlsx,Scenario
SCN_9EEB60781C9E,Scenario,宠物）,宠物）,company-info_with_url.xlsx,Scenario
SCN_A4B8994B3128,Scenario,③光纤围栏检测系统（新加坡机场,③光纤围栏检测系统（新加坡机场,company-info_with_url.xlsx,Scenario
SCN_11BC8CD87662,Scenario,地铁,地铁,company-info_with_url.xlsx,Scenario
SCN_3C2F8E5E5DB6,Scenario,马来西亚基础设施）,马来西亚基础设施）,company-info_with_url.xlsx,Scenario
SCN_1292A45E2EFB,Scenario,④分布式光纤温度检测系统（长沙电力,④分布式光纤温度检测系统（长沙电力,company-info_with_url.xlsx,Scenario
SCN_0AD3F28E5FC8,Scenario,山东电力）,山东电力）,company-info_with_url.xlsx,Scenario
SCN_D9F19B6AED87,Scenario,⑤分布式光纤应变监测系统,⑤分布式光纤应变监测系统,company-info_with_url.xlsx,Scenario
SCN_815606A6C774,Scenario,激光热释粒子探测器（长沙电力,激光热释粒子探测器（长沙电力,company-info_with_url.xlsx,Scenario
SCN_0223D035C9F0,Scenario,山东电力,山东电力,company-info_with_url.xlsx,Scenario
SCN_C9EB04232A47,Scenario,基站储能柜）,基站储能柜）,company-info_with_url.xlsx,Scenario
SCN_048E349B774E,Scenario,⑥FBG储能,⑥fbg储能,company-info_with_url.xlsx,Scenario
SCN_B564A30AABC6,Scenario,动力电池监测系统（宁德时代,动力电池监测系统（宁德时代,company-info_with_url.xlsx,Scenario
SCN_C76E846DD443,Scenario,山东国网综合能源,山东国网综合能源,company-info_with_url.xlsx,Scenario
SCN_901761DA0012,Scenario,圣阳储能）,圣阳储能）,company-info_with_url.xlsx,Scenario
SCN_6FAA2D07D778,Scenario,⑦飞秒光栅850度高温监测系统（氢能燃料电池）,⑦飞秒光栅850度高温监测系统（氢能燃料电池）,company-info_with_url.xlsx,Scenario
SCN_EE9E719163F7,Scenario,⑧FBG一体化光纤温度,⑧fbg一体化光纤温度,company-info_with_url.xlsx,Scenario
SCN_95F12CD90D78,Scenario,湿度和PH值传感监测系统（西安植物园）,湿度和ph值传感监测系统（西安植物园）,company-info_with_url.xlsx,Scenario
SUP_2C0417395341,Supplier,光纤传感器,光纤传感器,company-info_with_url.xlsx,Supplier
DEM_7FE54D0A30A9,DemandTag,本轮拟融资人民币2000~4000万元,本轮拟融资人民币2000~4000万元,company-info_with_url.xlsx,DemandTag
DEM_79D44D7067C4,DemandTag,主要用于团队建设,主要用于团队建设,company-info_with_url.xlsx,DemandTag
DEM_3927D471EB4C,DemandTag,研发,研发,company-info_with_url.xlsx,DemandTag
DEM_F5A60110F870,DemandTag,市场推广,市场推广,company-info_with_url.xlsx,DemandTag
