substage_id,stage_id,substage_name,definition,keywords
SUB_OC_046,STG_OC_DOWN_004,云计算数据中心,云数据中心光互联应用,云计算|数据中心
SUB_OC_047,STG_OC_DOWN_004,电信运营商网络,运营商网络应用,运营商|电信网络
SUB_OC_048,STG_OC_DOWN_004,算力中心/AI基础设施,算力中心和AI基础设施应用,算力中心|AI基础设施
SUB_LA_001,STG_LA_UP_001,光纤激光器,面向工业加工的高功率或精密光纤激光源,光纤激光器|fiber laser
SUB_LA_002,STG_LA_UP_001,超快激光器,皮秒飞秒等超短脉冲激光源,超快激光|皮秒激光|飞秒激光
SUB_LA_003,STG_LA_UP_001,固体激光器,基于固体增益介质的工业或科研激光源,固体激光器|YAG
SUB_LA_004,STG_LA_UP_001,半导体激光器,用于泵浦加工或专用装备的半导体激光源,半导体激光器|LD激光器
SUB_LA_005,STG_LA_UP_001,准分子/深紫外光源,用于半导体光学装备或精密加工的短波长光源,准分子激光器|深紫外|DUV|ArF|KrF
SUB_LA_006,STG_LA_UP_002,激光镜片,用于激光光路传输和聚焦的镜片,激光镜片|保护镜|反射镜
SUB_LA_007,STG_LA_UP_002,扩束镜/准直镜,用于激光束整形扩束和准直的部件,扩束镜|准直镜
SUB_LA_008,STG_LA_UP_002,场镜/F-theta镜,用于扫描加工和聚焦成像的光学部件,场镜|F-theta|扫描镜头
SUB_LA_009,STG_LA_UP_002,分束/合束器件,用于多光路分束合束的光学部件,分束器|合束器|偏振分束
SUB_LA_010,STG_LA_UP_002,光学镀膜器件,具有激光或精密光学镀膜能力的器件,光学镀膜|增透膜|高反膜
SUB_LA_011,STG_LA_UP_002,半导体精密光学镜组,面向半导体检测量测光刻相邻装备的高精密镜组,投影物镜|照明光学|精密光学系统|镜组
SUB_LA_012,STG_LA_UP_003,振镜,用于高速扫描加工的振镜执行单元,振镜|galvo
SUB_LA_013,STG_LA_UP_003,切割头,用于激光切割设备的加工头,切割头|激光切割头
SUB_LA_014,STG_LA_UP_003,焊接头,用于激光焊接设备的加工头,焊接头|激光焊接头
SUB_LA_015,STG_LA_UP_003,打标头,用于激光打标设备的执行头,打标头|激光打标头
SUB_LA_016,STG_LA_UP_003,熔覆头,用于激光熔覆或增材修复的加工头,熔覆头|送粉头
SUB_LA_017,STG_LA_UP_003,扫描控制模块,控制激光扫描路径和加工节拍的模块,扫描控制|扫描模块
SUB_LA_018,STG_LA_UP_004,激光控制卡,用于激光设备控制的板卡,激光控制卡|控制卡
SUB_LA_019,STG_LA_UP_004,运动控制系统,用于多轴运动协调控制的系统,运动控制|多轴控制
SUB_LA_020,STG_LA_UP_004,数控系统,用于激光加工设备数控操作的系统,数控系统|CNC
SUB_LA_021,STG_LA_UP_004,工艺参数软件,沉淀和调优激光工艺参数的软件,工艺参数|工艺包|参数优化
SUB_LA_022,STG_LA_UP_004,视觉定位软件,用于加工前定位和在线纠偏的软件,视觉定位|定位软件|机器视觉定位
SUB_LA_023,STG_LA_UP_004,设备控制平台,用于设备监控调度和产线协同的平台,设备控制平台|工业软件|设备控制
SUB_LA_024,STG_LA_UP_005,直线电机平台,高精度直线运动平台,直线电机平台|直线电机
SUB_LA_025,STG_LA_UP_005,精密位移台,精密定位和位移控制平台,精密位移台|纳米位移台
SUB_LA_026,STG_LA_UP_005,龙门平台,大幅面或高刚性龙门运动平台,龙门平台|龙门结构
SUB_LA_027,STG_LA_UP_005,多轴运动平台,多轴联动运动平台,多轴运动平台|五轴平台
SUB_LA_028,STG_LA_UP_005,夹治具,支撑加工定位和固定的夹具治具,夹具|治具|夹治具
SUB_LA_029,STG_LA_UP_005,自动上下料机构,激光设备配套自动上下料单元,自动上下料|上下料机构
SUB_LA_030,STG_LA_MID_001,激光切割设备,用于板材管材等切割的标准激光设备,激光切割机|激光切割设备
SUB_LA_031,STG_LA_MID_001,激光焊接设备,用于金属塑料或精密件焊接的设备,激光焊接机|激光焊接设备
SUB_LA_032,STG_LA_MID_001,激光打标设备,用于标识刻蚀追溯的设备,激光打标机|激光打标
SUB_LA_033,STG_LA_MID_001,激光清洗设备,用于表面除锈除漆和清洁的设备,激光清洗机|激光清洗
SUB_LA_034,STG_LA_MID_001,激光钻孔设备,用于微孔或精密孔加工的设备,激光钻孔|微孔加工
SUB_LA_035,STG_LA_MID_002,半导体激光加工装备,用于半导体晶圆封装或器件制造的激光装备,半导体激光加工|晶圆激光
SUB_LA_036,STG_LA_MID_002,面板激光修复装备,用于显示面板修复切割或检测配套的激光装备,面板激光修复|面板激光
SUB_LA_037,STG_LA_MID_002,锂电激光加工装备,用于锂电池生产工序的专用激光设备,锂电激光|极耳切割|电芯焊接
SUB_LA_038,STG_LA_MID_002,光伏激光加工装备,用于光伏电池片组件生产的激光装备,光伏激光|光伏划片|激光划片
SUB_LA_039,STG_LA_MID_002,医疗器械激光加工装备,用于支架导管植入物等医疗器械加工的设备,医疗器械激光|支架切割
SUB_LA_040,STG_LA_MID_002,微纳加工装备,用于微米纳米尺度结构加工的激光装备,微纳加工|微加工|纳米加工
SUB_LA_041,STG_LA_MID_003,激光加工工作站,集成激光设备和辅助单元的工作站,激光工作站|加工工作站
SUB_LA_042,STG_LA_MID_003,单工位自动化设备,面向单一工序的自动化激光单元,单工位自动化|自动化单元
SUB_LA_043,STG_LA_MID_003,多工位联动设备,多工序联动的激光自动化设备,多工位|联动设备
SUB_LA_044,STG_LA_MID_003,机器人激光加工单元,机器人与激光加工设备集成的单元,机器人激光|机器人焊接
SUB_LA_045,STG_LA_MID_003,在线检测集成单元,集成在线检测和激光加工的单元,在线检测|检测集成
SUB_LA_046,STG_LA_MID_004,锂电整线激光工艺,面向锂电生产线的激光工艺交付,锂电整线|锂电产线
SUB_LA_047,STG_LA_MID_004,汽车零部件激光产线,面向汽车零部件生产的激光产线,汽车零部件产线|车身焊接产线
SUB_LA_048,STG_LA_MID_004,消费电子激光产线,面向消费电子精密制造的激光产线,消费电子产线|精密制造产线
SUB_LA_049,STG_LA_MID_004,半导体封装激光工艺,面向半导体封装环节的激光工艺交付,半导体封装|封装激光
SUB_LA_050,STG_LA_MID_004,定制工艺包,针对客户材料和工序沉淀的工艺包,定制工艺包|工艺交付
SUB_LA_051,STG_LA_MID_005,SLM选区激光熔化装备,基于粉床的金属增材制造设备,SLM|选区激光熔化
SUB_LA_052,STG_LA_MID_005,DED定向能量沉积装备,基于送粉或送丝的激光增材设备,DED|定向能量沉积
SUB_LA_053,STG_LA_MID_005,激光熔覆装备,用于表面强化修复和增材的装备,激光熔覆|熔覆装备
SUB_LA_054,STG_LA_MID_005,金属粉末与工艺参数,金属增材制造配套粉末和工艺参数能力,金属粉末|增材工艺参数
SUB_LA_055,STG_LA_MID_005,增材后处理与检测,金属3D打印后的热处理检测和表面处理,增材后处理|3D打印检测
SUB_LA_056,STG_LA_MID_006,光刻光源相关部件,面向光刻相邻系统的准分子或深紫外光源部件,光刻光源|准分子光源|DUV光源
SUB_LA_057,STG_LA_MID_006,半导体精密光学系统,用于半导体装备的照明投影成像光学系统,半导体精密光学|投影物镜|照明系统
SUB_LA_058,STG_LA_MID_006,晶圆激光切割设备,用于晶圆划片切割的激光设备,晶圆切割|激光划片
SUB_LA_059,STG_LA_MID_006,晶圆激光打标设备,用于晶圆或芯片标识追溯的激光设备,晶圆打标|芯片打标
SUB_LA_060,STG_LA_MID_006,激光退火设备,用于半导体材料或器件热处理的激光退火装备,激光退火|退火设备
SUB_LA_061,STG_LA_MID_006,掩膜版/晶圆光学检测设备,用于掩膜版和晶圆缺陷检测的光学装备,掩膜版检测|晶圆检测|光学检测
SUB_LA_062,STG_LA_MID_006,半导体封装激光工艺设备,用于封装开槽切割去胶等工序的激光设备,封装开槽|激光去胶|封装激光
SUB_LA_063,STG_LA_DOWN_001,钣金切割,钣金材料激光切割应用,钣金切割|板材切割
SUB_LA_064,STG_LA_DOWN_001,管材切割,管材型材激光切割应用,管材切割|型材切割
SUB_LA_065,STG_LA_DOWN_001,金属焊接,金属件激光焊接应用,金属焊接|激光焊
SUB_LA_066,STG_LA_DOWN_001,表面处理,激光清洗纹理化强化等表面处理应用,表面处理|激光清洗|激光强化
SUB_LA_067,STG_LA_DOWN_001,增材制造/激光熔覆,金属增材和激光熔覆应用,增材制造|激光熔覆|3D打印
SUB_LA_068,STG_LA_DOWN_002,车身焊接,汽车车身结构件焊接应用,车身焊接|白车身
SUB_LA_069,STG_LA_DOWN_002,动力电池结构件加工,动力电池壳体连接件等激光加工应用,动力电池结构件|电池壳体
SUB_LA_070,STG_LA_DOWN_002,电机/电控部件加工,电机电控部件焊接切割或打标应用,电机加工|电控部件
SUB_LA_071,STG_LA_DOWN_002,汽车内外饰加工,汽车内外饰切割打孔焊接应用,汽车内饰|汽车外饰
SUB_LA_072,STG_LA_DOWN_003,极耳切割,锂电极耳激光切割应用,极耳切割|极耳激光
SUB_LA_073,STG_LA_DOWN_003,电芯焊接,电芯制造中的激光焊接应用,电芯焊接|电芯激光
SUB_LA_074,STG_LA_DOWN_003,模组/PACK焊接,电池模组和PACK环节激光焊接应用,PACK焊接|模组焊接
SUB_LA_075,STG_LA_DOWN_003,光伏划片,光伏电池片激光划片应用,光伏划片|激光划片
SUB_LA_076,STG_LA_DOWN_003,光伏焊接,光伏组件或电池片焊接应用,光伏焊接|组件焊接
SUB_LA_077,STG_LA_DOWN_004,精密打标,消费电子部件精密标识应用,精密打标|电子打标
SUB_LA_078,STG_LA_DOWN_004,玻璃/蓝宝石加工,玻璃蓝宝石等硬脆材料加工应用,玻璃加工|蓝宝石加工
SUB_LA_079,STG_LA_DOWN_004,FPC/PCB加工,柔性线路板和印制电路板激光加工应用,FPC|PCB|线路板加工
SUB_LA_080,STG_LA_DOWN_004,外壳焊接,消费电子外壳激光焊接应用,外壳焊接|电子外壳
SUB_LA_081,STG_LA_DOWN_004,微孔加工,精密微孔钻孔和开孔应用,微孔加工|激光钻孔
SUB_LA_082,STG_LA_DOWN_005,晶圆切割,晶圆划片切割应用,晶圆切割|晶圆划片
SUB_LA_083,STG_LA_DOWN_005,晶圆打标,晶圆和芯片追溯标识应用,晶圆打标|芯片打标
SUB_LA_084,STG_LA_DOWN_005,封装开槽,半导体封装开槽切割应用,封装开槽|封装切割
SUB_LA_085,STG_LA_DOWN_005,薄膜加工,半导体或光伏薄膜激光加工应用,薄膜加工|薄膜激光
SUB_LA_086,STG_LA_DOWN_005,微纳结构加工,微纳尺度结构加工应用,微纳结构|微纳加工
SUB_LA_087,STG_LA_DOWN_006,支架切割,血管支架等医疗器械激光切割应用,支架切割|血管支架
SUB_LA_088,STG_LA_DOWN_006,导管焊接,医疗导管等器械激光焊接应用,导管焊接|医疗导管
SUB_LA_089,STG_LA_DOWN_006,植入物加工,植入物精密激光加工应用,植入物加工|植入物
SUB_LA_090,STG_LA_DOWN_006,航空航天精密加工,航空航天零部件激光精密加工应用,航空航天精密加工|航天加工
SUB_LA_091,STG_LA_DOWN_006,科研实验装备,科研实验和特种场景中的激光装备应用,科研实验装备|实验激光
