id:ID,label,name,source_file,row_no,:LABEL,core_technology,technology_maturity,possible_scenarios,business_model,delivery_capability,certification_ip,founder_team_and_gap,recent_revenue_profit,competition_and_diff,match_level,website_url
ENT_62C1DF9AFA39,Enterprise,北京扬铭科技发展有限责任公司,company-info_with_url.xlsx,385,Enterprise,无线电信信号监测、接收、解调、译码、发送等技术,整体能力处于国内领先水平，部分产品（如“白头翁”分析工具软件）市场暂无替代品。,暂无（资料未提及其他潜在应用领域）。,技术开发、设备研制生产、信息系统开发、系统集成建设及咨询服务。,公司总部位于北京，在无锡、成都设有子公司，济南、沈阳、石家庄设有办事处，具备全国性服务与交付网络。,省级专精特新企业、高新企业、A级纳税人、一般纳税人；拥有软件著作权58项，专利3项。,创始人曾兆立硕士，在特种频谱监测领域有20多年研究与实战经验，曾任“十三五”规划总体论证组成员、电磁频谱作战专家组成员。核心团队有李俊富硕士等。短板信息暂无。,2023年营收5000万元。利润信息暂无。,资料未提及具体竞争对手。技术差异体现在其“白头翁”分析工具软件市场暂无替代产品，整体通信电子战解决方案能力国内领先。,未匹配,
ENT_E92F5CC6E259,Enterprise,飞秒光电科技（西安）有限公司,company-info_with_url.xlsx,386,Enterprise,,,,,,高新技术企业，专精特新“小巨人”企业，A级纳税人，一般纳税人,法定代表人：李涛。短板信息暂无。,,,未匹配,https://www.feteco.com/
ENT_3B054BB44E52,Enterprise,亿能智光（深圳）科技有限公司,company-info_with_url.xlsx,435,Enterprise,一代光子晶体表面发射激光器（PCSEL）的芯片级器件开发,处于产品研发及商业化推进阶段，公开可见信息不足，量产成熟度无明确披露,CPO/硅光互连、5G/6G通信、边缘算力互连、激光雷达光器件、传感光芯片,B2B为主，销售PCSEL芯片级器件及相关解决方案；可能包括项目制合作、行业定制开发,,,创始团队： 无（公开披露有限）；短板： 品牌影响力和客户验证案例公开度不足，若处于早期阶段则可能面临资金、量产、供应链及市场拓展压力,,竞对包括源杰科技、长光华芯、光迅科技及其他VCSEL/光芯片厂商；技术差异可能体现在PCSEL器件性能、成本控制、封装工艺和细分场景适配，公开资料不足以确认其核心壁垒,未匹配,
ENT_55A5BA7EA3A1,Enterprise,北京灵熹光子科技有限公司,company-info_with_url.xlsx,436,Enterprise,专注基于微环调制器的硅光芯片与CMOS电芯片协同开发；微环调制器尺寸仅为商用方案千分之一，具备低功耗、高集成度特征，天然支持波分复用,处于前沿技术研发和工程化推进阶段，部分产品可能处于样片、原型机或小规模验证阶段，公开资料未见大规模量产信息,数据中心光互连、AI算力中心、高性能计算、硅光通信与片上互连,B2B为主，销售硅光芯片、协同电芯片及相关解决方案；可能包括联合研发、定制化设计、科研合作及项目制交付,,,创始团队多半具备光学、集成光子学、芯片设计背景，可能来自高校/科研院所/知名科技企业；短板是客户教育周期长、生态适配和量产落地难度较高,,竞对包括Lightmatter、Lightelligence、曦智科技等；技术差异可能体现在微环调制器尺寸、低功耗、高集成度与波分复用适配能力方面,无,
ENT_820799C93DF2,Enterprise,四川思创激光科技有限公司,company-info_with_url.xlsx,437,Enterprise,激光器设计与制造、激光精密加工、激光光学系统集成、激光控制与应用技术,处于工程化和产品化阶段，具备一定产业应用基础；公开资料未见完整量产规模和大客户交付细节,锂电池制造、光伏加工、半导体材料加工、3C电子精密加工、医疗器械加工、航空航天零部件加工,以B2B为主，销售激光器、整机设备及行业解决方案；可能包括设备销售、项目集成、定制开发及售后服务,具备一定设备交付和项目实施能力，具体批量交付规模、产能及区域服务能力公开信息不足,,创始团队推测具备激光技术、装备制造或工业应用背景；短板可能在于品牌影响力、全国渠道建设、高端市场客户突破以及核心器件自主化程度,,竞对包括大族激光、华工激光、杰普特、锐科激光及区域性激光设备企业；技术差异可能体现在细分场景定制化、成本控制、区域服务响应和特定工艺适配能力上，公开资料不足以确认显著技术领先点,无,
ENT_BE5BD14432C5,Enterprise,广州光达创新科技有限公司,company-info_with_url.xlsx,438,Enterprise,光电探测、激光测量/传感、光学系统设计、信号处理与智能感知集成技术,处于研发及产品化推进阶段，公开信息不足，量产成熟度无明确披露,无人系统避障、仓储物流自动化、AGV/AMR导航、智慧园区感知、路侧感知、特种行业监测,以B2B为主，销售传感器/模组/系统解决方案，可能包括项目制开发与行业定制服务,,,创始团队无；短板可能包括品牌影响力有限、公开客户案例不足、量产与渠道建设能力待验证,,竞对包括镭神智能、禾赛科技、速腾聚创及各类工业传感器企业；差异化可能体现在细分场景定制化、成本控制、系统集成能力，公开资料不足以确认其核心技术壁垒,无,
ENT_B97E4DCA3F97,Enterprise,武汉翔明激光科技有限公司,company-info_with_url.xlsx,439,Enterprise,激光器研发与制造、激光精密加工技术、激光光学系统集成、控制系统开发,处于产品化和工程应用阶段，具备一定工业场景落地基础，公开资料未见完整量产及大客户交付信息,锂电制造、光伏加工、半导体材料加工、3C精密制造、医疗器械加工、汽车零部件加工,B2B为主，销售激光设备、激光器及行业解决方案，可能包括定制开发、设备集成及售后服务,具备一定设备交付和工程实施能力，具体产能、批量交付规模及服务网络公开资料不足,,创始团队无；短板可能包括品牌影响力有限、高端客户资源不足、核心器件自主化程度及全国化渠道能力待验证,,竞对包括大族激光、华工激光、杰普特、锐科激光及区域性激光设备企业；技术差异可能体现在细分工艺适配、成本控制、区域服务响应与定制化能力，公开资料不足以确认其明显技术壁垒,无,https://www.skylasertech.com/
ENT_349BB97E2F8F,Enterprise,武汉驿天诺科技有限公司,company-info_with_url.xlsx,440,Enterprise,公司主要做基于PIC技术的高速率小型化光器件，具体产品包括PLC混合集成芯片、40Gbps和100Gbps TOSA/ROSA,处于研发及产品化推进阶段，公开资料有限，量产成熟度无明确披露,5G前传/中传/回传、云计算基础设施、AI算力中心互连、工业互联网通信,B2B为主，销售基于PIC技术的光器件、模组及通信解决方案，可能包括定制开发和项目制合作,,,创始团队无；短板可能包括公开客户案例较少、品牌影响力有限、量产验证与供应链能力待确认,,竞对包括中际旭创、光迅科技、新易盛、华工正源及其他光模块厂商；差异化可能体现在PIC集成度、高速率小型化能力、成本控制、定制化能力和本地化服务,无,
ENT_5F08A525F9F8,Enterprise,深圳市光舟半导体技术有限公司,company-info_with_url.xlsx,441,Enterprise,AR眼镜、智能近眼显示终端、全息光波导光学元件；结合自研光引擎开发用于近眼显示的光学模组,处于研发和产品化推进阶段，公开资料有限，量产成熟度无明确披露,AR眼镜、智能近眼显示终端、消费级/工业级近眼显示场景,B2B为主，销售全息光波导光学元件、光引擎及近眼显示光学模组；可能包括联合开发、定制设计和项目合作,,,创始团队无；短板可能包括客户验证周期长、量产与良率爬坡压力、品牌与规模化能力待验证,,竞对包括至格科技、鲲游光电、理湃光晶及其他AR近眼显示/光波导厂商；差异化可能体现在波导性能、光引擎集成度、模组良率及细分场景适配，公开资料不足以确认明确领先优势,无,
ENT_FC7390DC8671,Enterprise,深圳瑞识科技股份有限公司,company-info_with_url.xlsx,442,Enterprise,主要产品为VCSEL芯片，并具备相关光电芯片与器件设计、光电集成及高速互连相关技术,处于产品化和场景落地推进阶段，具备一定工程应用基础，公开资料未见完整量产及大规模客户交付信息,3D感知、CPO/硅光互连、5G/6G通信、边缘算力互连、传感光芯片,B2B为主，销售VCSEL芯片、光电器件及相关解决方案，可能包括项目制交付、定制开发和平台服务,,,创始团队无；短板可能包括行业竞争激烈、头部客户资源和全国渠道能力待加强、量产与封测资源依赖较强,,竞对包括源杰科技、长光华芯、光迅科技及其他VCSEL/光芯片厂商；差异化可能体现在器件性能、成本控制、封装工艺和细分场景适配，公开资料不足以确认其核心壁垒,无,
ENT_1E3C66B8BCA5,Enterprise,西安中科微星光电科技有限公司,company-info_with_url.xlsx,443,Enterprise,光场调控技术、光学载荷可靠性测试技术、超快激光控制技术,处于研发及工程化推进阶段，具备一定高端光学系统开发与测试能力，公开资料对量产规模披露有限,航天光学载荷、特种光学系统、精密测试、超快激光应用、科研仪器,B2B/B2G为主，提供高端光学系统、测试服务或定制化解决方案，可能包括科研合作及项目制交付,,,创始团队无；短板可能包括客户验证周期长、项目型交付较重、规模化复制能力待验证,,竞对包括特种光学系统、载荷测试、精密激光控制相关单位；差异化可能体现在光场调控、载荷可靠性测试及超快激光控制能力上，公开资料不足以确认明确领先优势,无,
ENT_9C2619693684,Enterprise,西安中科极目光电科技有限公司,company-info_with_url.xlsx,444,Enterprise,自动光学检测设备、PL光致荧光分选机、金属有机化学气相沉积设备以及医用光学设备,处于研发及产品化推进阶段，具备一定专用光学装备开发与交付能力，公开资料对量产规模披露有限,半导体检测、材料分选、先进制造、医用光学场景,以B2B为主，销售专用光学装备及行业解决方案，可能包括定制开发、设备集成及项目制交付,,,创始团队无；短板可能包括设备验证周期长、跨场景产品线较分散、规模化交付能力待验证,,竞对包括自动光学检测设备、分选设备、MOCVD及医用光学设备相关厂商；差异化可能体现在多类专用光学装备开发与系统集成能力上，公开资料不足以确认明确领先优势,无,
ENT_A87B3F73530C,Enterprise,西安中科英威特光电技术有限公司,company-info_with_url.xlsx,445,Enterprise,光电倍增管、电子轰击成像型光电器件,处于研发及工程化推进阶段，公开资料有限，量产成熟度和规模交付情况无明确披露,弱光探测、成像探测、高端仪器、特种感知场景,以B2B/B2G为主，销售光电器件及相关解决方案，可能包括定制开发、项目制交付及科研合作,,,创始团队无；短板可能包括客户验证周期较长、产业化能力待验证、公开品牌影响力有限,,竞对包括光电探测、弱光成像及特种光电器件相关厂商；差异化可能体现在光电倍增管与电子轰击成像器件能力上，公开资料不足以确认明确领先壁垒,无,
ENT_E530F9721D08,Enterprise,西安中科英特光谱科技有限公司,company-info_with_url.xlsx,446,Enterprise,一种“谱像合一”的新型图谱融合技术，可同时获取景物空间信息与光谱信息，并分析物质组成成分；产品包括zkinter+多光谱火焰探测器+ZR-FD、zkinter+高光谱成像仪+ZR-HYI、zkinter+多光谱摄像机+ZR-MUC,处于研发及产品化推进阶段，具备一定多光谱/高光谱成像产品开发能力，公开资料对量产规模披露有限,行业安防、医疗、石油、科研、考古、环保、大气气象、环境监测、食品安全,以B2B/B2G为主，销售多光谱/高光谱成像设备及行业解决方案，可能包括定制开发、项目制交付及科研合作,,,创始团队无；短板可能包括客户验证周期较长、跨行业交付复杂度高、规模化复制能力待验证,,竞对包括多光谱/高光谱成像、火焰探测及环境监测相关厂商；差异化可能体现在“谱像合一”图谱融合能力及成分分析能力上，公开资料不足以确认明确领先壁垒,无,
ENT_AAEAC4A9DA49,Enterprise,西安观谱红外科技有限公司,company-info_with_url.xlsx,447,Enterprise,医疗、数字红外成像技术；产品为医用红外成像仪,处于研发及产品化推进阶段，具备一定医用红外成像产品开发能力，公开资料对量产规模披露有限,医疗检测、健康监测、临床辅助诊断场景,以B2B为主，销售医用红外成像设备及相关解决方案，可能包括定制开发、项目制交付及售后服务,,,创始团队无；短板可能包括医疗认证周期长、临床验证周期长、规模化渠道能力待验证,,竞对包括医用红外成像及医学检测相关厂商；差异化可能体现在数字红外成像能力及医疗场景适配能力上，公开资料不足以确认明确领先壁垒,无,
ENT_C418DB33A046,Enterprise,华芯（珠海）半导体有限公司,company-info_with_url.xlsx,449,Enterprise,主要从事尖端化合物半导体光电子芯片及其应用产品的研究、开发与生产；具备外延金属有机物化学气相沉积（MOCVD）设备、芯片工艺设备和封装设备；主要产品包括高亮度LED、蓝绿光半导体激光管、VCSEL光子芯片、DFB光子芯片、EML光子芯片以及高亮度半导体激光芯片,处于研发及产业化推进阶段，具备一定光电子芯片研发与制造基础，公开资料对量产成熟度未完整披露,光通信、3D感知、激光应用、光电子器件及相关前沿应用场景,以B2B为主，开展光电子芯片及应用产品研发、生产与销售，并配套芯片工艺及封装制造能力,,,创始团队无；短板可能包括不同产品线较分散、客户验证周期长、规模化量产与市场拓展能力待进一步验证,,竞对包括VCSEL、DFB、EML及半导体激光芯片相关厂商；差异化可能体现在化合物半导体工艺平台、MOCVD外延能力及多类光电子芯片产品布局上，公开资料不足以确认明确领先壁垒,无,
ENT_4ED2A1938246,Enterprise,陕西光电子先导院科技有限公司,manual_confirm,450,Enterprise,光电子共性技术平台、化合物半导体工艺、硅光/光通信器件、微纳加工、封装测试、中试转化平台能力,处于平台建设与产业化服务推进阶段，具备一定光电子工艺、中试与转化支撑能力，公开资料对商业化规模披露有限,硅光器件、光通信器件、光电子中试转化、工艺验证与封装测试场景,以B2B为主，提供光电子共性技术平台、工艺开发、中试转化、封装测试及相关服务能力,,,创始团队无；短板可能包括平台型业务商业化周期较长、客户导入与规模化转化效率待进一步验证,,竞对包括光电子工艺平台、硅光/光通信器件中试及封测平台相关机构；差异化可能体现在共性技术平台、微纳加工与中试转化一体化能力上，公开资料不足以确认明确领先壁垒,无,

ENT_E46D11AD3E87,Enterprise,北京恩力动力技术有限公司,company-info_with_url.xlsx,387,Enterprise,采用自主开发的锂金属电极界面控制技术以及独特的电解质技术。,研发及产业化阶段，已完成B轮及B+轮数亿元融资用于技术研发和产能建设。,航空航天、电动工具、可穿戴设备、无人机等需要高能量密度、高安全性电池的领域。,技术研发、产业化及销售，通过融资推动研发和市场拓展。,处于研发及产能建设阶段，具体量产交付能力暂无公开数据。,暂无（网络信息未披露具体认证、资质或知识产权详情）。,法定代表人/高管为武沈丰；公司为恩力动力旗下企业，成立于2020年，相对年轻；短板可能包括量产经验、市场验证周期及固态电池行业普遍面临的技术成熟度和成本挑战。,暂无（未披露财务数据）。,竞对包括其他固态电池研发企业（如清陶能源、辉能科技等）；技术差异可能体现在其自主开发的锂金属电极界面控制技术和独特电解质方案，专注于全固态电池路径。,未匹配,https://enpower-energy.com.cn/
ENT_0C56C01F7166,Enterprise,奇异摩尔（上海）集成电路设计有限公司,company-info_with_url.xlsx,388,Enterprise,4）一站式服务（Chiplet设计、量产封测）。,技术已进入商业化阶段，拥有超过10名成员具备高性能Chiplet项目量产经验。2023年订单1亿元，收入超6000万元；2024年订单超4亿元，收入约1.5亿元。,后摩尔时代各类需要高性能、高集成度、异构计算的芯片领域，如AI加速芯片、数据中心芯片、高端通信芯片等。,作为Chiplet产品及服务提供商，通过销售Chiplet通用底座、连接芯粒/IP、设计工具以及提供一站式设计封测服务获得收入。,具备从Chiplet设计到量产封测的一站式服务能力，可助力客户迅速量产高性能芯片。,国家高新技术企业、国家专精特新企业、上海科技型中小企业、UCIe Contributing Member、全国颠覆性技术创新大赛总决赛优胜奖。,CEO田陌晨拥有超过20年半导体市场营销及管理经验，曾任恩智浦半导体全球营销副总裁。核心团队过半拥有18年以上行业经验，超过20%博士学历。短板信息暂无。,2023年收入超6000万元；2024年收入约1.5亿元。2021-2022年及利润数据暂无。,自称是全球领先的Chiplet产品及服务公司，掌握超级异构架构核心技术。具体竞争对手名称及技术差异暂无。,未匹配,
ENT_46E1C15BE614,Enterprise,深圳锐思智芯科技有限公司,company-info_with_url.xlsx,389,Enterprise,基于Hybrid Vision®融合视觉技术的ALPIX系列融合视觉传感芯片（如ALPIX-Pizol、ALPIX-Eiger、ALPIX-Titlis等），同一芯片可同时输出高质量图像数据和事件流。,已推出系列芯片产品，并获得多家产业方战略投资，技术已实现产业化应用。,需要事件流快速判断与图像数据详细分析相结合的所有机器视觉场景，如更广泛的工业检测、AR/VR、新形态人机交互等。,芯片销售、基于自研芯片的摄像头模组销售，并提供一体化智能视觉解决方案。,在深圳、北京、瑞士、南京设有办公室及研发团队，具备芯片设计、模组开发及解决方案提供能力。具体产能信息暂无。,拥有专利化的芯片架构和像素设计，核心团队拥有40项国内外发明专利，在国际期刊发表9篇论文。具体资质认证信息暂无。,创始人/CEO邓坚：苏黎世联邦理工硕士，18年集成电路经验，曾任瑞士微电子中心和HMT，欧盟、瑞士国家基金项目带头人。联合创始人/CTO查颖云：苏黎世联邦理工硕士，23年集成电路经验，欧洲首款产业化iTOF创造者，曾任CSEM、安森美、NXP。团队技术背景深厚。短板：公司成立时间较短（2019年），市场拓展和规模化量产能力有待进一步验证。,暂无公开数据。,竞品信息未明确提及。其技术差异在于独创的Hybrid Vision®融合视觉技术，能在单芯片上融合传统图像传感器的高画质与事件相机的高速度、低延迟、高动态范围优势，填补国内高端视觉传感器空白。,未匹配,https://www.alpsentek.com/
ENT_2F8A8C70E3AF,Enterprise,绍兴长木新材料科技有限公司,company-info_with_url.xlsx,390,Enterprise,水性烤漆树脂、水性丙烯酸改性醇酸树脂、水性环氧酯树脂、水性环氧树脂、水性助剂、水性环氧固化剂,拥有自主知识产权核心技术，产品已实现商业化生产与销售,,B2B，生产并销售水性树脂产品及助剂,具备生产与供货能力（具体产能信息暂无）,国家级高新技术企业；牵头或参与制订《涂料用水性醇酸树脂》、《钢结构用水性防腐涂料》等行业标准；拥有专利（根据企查查信息，集团专利28项）,暂无具体创始团队信息。短板可能包括：公司规模相对较小（社保人数20人），市场拓展与品牌影响力有待加强。,,暂无具体竞对名称。技术差异点在于专注于水性树脂领域，拥有自主核心技术，并参与国家行业标准制定，产品环保特性突出。,未匹配,
