"公司名称","核心技术","产品","客户","供应商","技术成熟度","产品应用行业","应用场景","可能应用场景","商务模式","交付能力","认证/资质/知识产权","创始团队与短板","当前最需要的资源类型","近三年营收及利润","竞对及技术差异","匹配程度"
"江苏华生基因数据科技股份有限公司","肿瘤个体化医疗基因检测数据分析、分子生物学软件研发","DNA分析检测相关软件","基因测序与数据分析服务需求方（医院、科研机构、药企）","基因测序设备/试剂供应商（Illumina/华大基因等）、基因数据分析服务器供应商","　","　","　","　","　","　","　","　","　","　","　","未匹配"
"南京模砾半导体有限责任公司","高端数模混合芯片设计；高速高精度ADDA；100V高压电源管理；大规模数模混合开发芯片量产","BMS AFE系列电池管理芯片；智能直流优化器芯片；MoLi321XS芯片","蓝思科技、伯恩光学、京东方、富士康、AMKOR、深圳精智达、武汉精测电子、凌云光、重庆京东方、绵阳京东方","晶圆代工厂（芯联集成等）、封装测试厂商、EDA工具供应商（Cadence/Synopsys）","已具备量产能力，有多颗芯片完成设计流片并导入客户。","新能源车、动力电池、储能产品、电动工具、消费类产品、光伏电站。","1. 光伏电站智能化升级：集成BMS AFE芯片至直流优化器，实现组件级MPPT与故障诊断。2. 储能系统性能优化：用于户用储能（如Power Bank系列）的高精度电芯管理，实现主动均衡，延长电池寿命。","高端工业、储能、电动车等领域的芯片国产化替代。","芯片设计服务商，提供集成电路设计、销售及相关技术服务。","拥有完整的数模混合芯片设计研发量产能力，产品已完成设计流片并导入客户。","高新技术企业（2023年），科技型中小企业（2024年）。","创始人/法人代表：许正杰。短板：暂无公开信息。","暂无公开信息。","暂无公开信息。","暂无公开信息。","精确匹配"
"中科慧远视觉技术（洛阳）有限公司","工业外观精密检测技术；仿人光学成像；AI算法平台；机器视觉","工业外观视觉检测装备","蓝思科技、伯恩光学、京东方、富士康、AMKOR、深圳精智达、武汉精测电子、凌云光、重庆京东方、绵阳京东方","工业相机/光学镜头供应商","成熟，已实现国产替代并填补行业空白，产品已落地应用并实现商业化。","工业制造（如玻璃盖板、显示面板等外观检测）、消费电子、光学显示、半导体封装。","工业产品外观缺陷的自动化精密检测，主要针对外观缺陷微弱、精度要求高的场景，如玻璃盖板、显示面板等的外观检测。","精密制造行业的外观检测、质量管控","中科慧远视觉技术(洛阳)有限公司是一家技术解决方案提供商，专注于销售自主研发的工业视觉智能检测装备及系统解决方案。","具备独立研发、生产和交付工业外观视觉检测装备的能力。","国家高新技术企业，国家级专精特新“小巨人”企业，A级纳税人，一般纳税人。","核心团队源自中国科学院自动化研究所，在光学、视觉、控制、智能制造等领域有深厚的技术背景和积累。短板信息暂无。","市场拓展资源（尤其是海外市场）、资金支持","- **近三年营收及利润**：暂无公开数据。","暂无竞对及技术差异信息，需要额外补齐。","模糊匹配"
"重庆中科超容科技有限公司","碳基石墨烯复合材料（高比表面积电极材料）；高耐压电解质技术（电化学窗口3.5V）","双电层电容器（EDLC）单体（3.0V/3.2V，1F~3700F）；混合储能系统","轨道交通、新能源汽车厂商；产品出口欧美国家","宁波中车新能源科技有限公司（超级电容器复合电极材料合作）","已量产高性能核心电极材料、电解质和高能量密度EDLC器件，产品形态涵盖导针型小型单体、焊针型中型单体、激光焊接型大型单体，并可接受尺寸容量定制化。","消费电子（空调、电视、洗碗机、热水器、燃气灶等）、电力储能、工业控制、智能仪表、新能源汽车、军工、信息终端、通讯站、电力数据传输等。","消费电子产品中需要瞬间较大电流放电、免维护、安全环保的储能部件；电力储能领域；以及其他需要高效能量收集、存储、转化的场景。","由超级电容与其他储能器件组成的混合储能系统；对超低内阻、超大功率、超低温使用以及单体更高电压平台有特殊需求的领域。","研发、生产、销售超级电容器及相关产品，并提供电化学储能解决方案和技术服务。","具备量产能力，可接受尺寸容量定制化，并能根据客户要求开发混合储能系统。","高新技术企业、专精特新中小企业、规模以上工业企业。","创始团队由中科院研究员刘双翼带队创建，团队成员包括研究员、副研究员、高级工程师等，拥有十多年功率储能材料及器件的应用基础研究与技术转化开发经验。短板信息暂无。","　","　","　","精确匹配"
"上海奇绩智峰智能科技有限公司","集成电路芯片设计；计算机软件开发；图像处理、双目立体匹配、人脸识别、智能锁专利","NexRL大模型强化学习训练框架、NexAU智能体开发框架、NexWeave大模型训练服务平台、MM-Doc-R1多智能体长文档分析系统（AI软件/平台，未商业化命名）","暂无公开客户信息；AI Agent研发服务商，尚未商业化","GPU芯片供应商（NVIDIA等）、云计算服务商","　","　","　","　","　","　","　","团队属于大模型公司第一梯队，是行业老炮+小天才的组合，拥有极高的人才密度和最前沿的认知反馈。团队配置豪华、资源丰富、创业决心较足，并有政府资源支持。","融资。本轮为第一轮融资，计划融资不超过7亿人民币。","　","　","精确匹配"
"蓝箭科技（衢州）有限公司","防热隔热涂料技术（环氧树脂增韧防热；硅橡胶+碳纤维+纳米陶瓷相填料）","LJTR-11防热涂层；LJTP-31防热涂料；环氧防热涂料；硅橡胶防热涂料；三防/四防漆","暂无（为蓝箭航天空间科技提供配套材料）","原材料供应商","产品已明确型号（LJTR-11，LJTP-31）并定义了具体性能指标（如解决1000℃、1800℃以内热环境问题），表明技术已进入产品化阶段。","军工（导弹、火箭弹、无人机、武器装备）、航空航天、电子设备防护。","导弹战斗部、发动机、舵基舱、电缆罩；火箭弹战斗部、控制舱、伺服舱、尾段；军用及民用无人机、电子产品、武器装备、舰艇装备的表面防护（防腐、防湿热、防霉菌、防盐雾、防静电）。","其他需要耐高温、隔热、烧蚀防护及三防/四防（防湿热、防霉、防盐雾、防静电）的军用装备、航空航天器部件、高端电子设备。","研发、生产、销售一体化。下设全资子公司及北京分公司，覆盖材料研发、生产制造及技术推广。","核心项目为“年产1000吨军用耐高温防护材料新建项目”，具备规模化生产潜力。具体产能交付数据暂无。","暂无（PDF及网络信息未披露具体认证、资质或专利信息）。","创始团队信息暂无。短板：公司成立于2023年8月，运营时间短；实缴资本（45万人民币）与注册资本（500万人民币）差距较大，可能反映初期资金实力有限。","基于其新建项目和融资信息，可能最需要资金资源（用于产能建设、研发投入）和市场资源（进入军工供应链体系）。","暂无（公司成立于2023年，无完整财年数据）。","PDF中未提及直接竞对。技术差异：其防热涂料针对1000℃-1800℃高速气动热环境及长时隔热问题，并具备低密度、低热导率、耐烧蚀等特点；三防/四防漆针对军用电子设备防护。","精确匹配"
"江西国化实业有限公司","电解氟化技术","含氟化学品系列（三氟甲磺酸、三氟甲磺酸酐、三氟甲磺酸锂、双三氟甲基磺酰亚胺）；数据中心冷却液系列","制冷剂/数据中心冷却液需求方；300+含氟化学品品种客户","萤石/氟化工原材料供应商","成熟。2016年自主创新研发电解氟化技术并突破美国封锁，已实现数据中心冷却液系列产品的规模化生产（年产12500吨项目已落户）。","医药、农药、塑胶、化纤、电池、新型材料、数据中心（服务器冷却）。","1. 化学反应中的合成工具（三氟甲磺酸）。2. 数据中心服务器的浸没式液冷。","电子设备冷却、其他需要高效热管理的领域。","研发、生产及销售含氟产品的高新技术企业。","具备规模化生产能力，拥有年产12500吨数据中心冷却液系列产品的项目。","高新技术企业；国家级专精特新“小巨人”企业；A级纳税人；历史科技型中小企业。","创始团队信息暂无。短板：原文及搜索结果未明确提及。","暂无（原文及搜索结果未明确提及）。","暂无（原文及搜索结果未提供具体财务数据）。","竞对信息暂无。技术差异：通过自研电解氟化技术，突破了国外在数据中心冷却液（氟碳化合物）领域的技术封锁，实现了国产化替代。","精确匹配"
"广州力及热管理科技有限公司","电子工程设计服务；电子产品检测；电子产品设计服务；信息电子技术服务；新材料技术推广服务","复合液冷散热器、超薄型均温板元件（Vapor Chamber）、三维蒸气腔元件等散热模组（用于集成电路/功率电子封装散热）","暂无公开客户信息","热管理材料供应商","　","专业技术服务业","　","　","　","　","高新技术企业；科技型中小企业","　","　","　","　","精确匹配"
"墨光新能科技（苏州）有限公司","零能耗被动式辐射制冷技术（微纳结构材料，8-13μm大气窗口高红外发射，超材料）","辐射制冷膜材；辐射制冷涂料；辐射制冷织物","科顺股份（联合品牌合作）、大型储罐/建筑降温需求方；南京大学团队产业化合作","辐射制冷原材料供应商","量产阶段。2023年8月产品量产首发，研究成果发表于顶级期刊《自然》并首次在手机落地。","消费电子、新能源汽车。","手机散热（辐射制冷膜）。","移动终端、建筑、织物、航空航天、军工等场景的降温或保温需求。","产品销售、联合研发。","具备量产能力。","拥有行业关键核心技术及全产业链的多项专利布局。","创始团队：创始人/首席科学家朱嘉（南京大学能源与资源学院院长，国家杰出青年，斯坦福大学博士）；创始人/董事长/CEO朱斌（南京大学副教授，博士生导师，国家“万人计划”）。短板：公司成立时间较短（2022年7月），规模尚小（员工人数约23-99人）。","资本（已完成Pre-A轮近亿人民币融资）、市场拓展资源。","暂无。","竞对：迈默智塔（无锡）科技有限公司（提供高导热散热涂层，应用领域侧重汽车、轨道交通、航空）。技术差异：墨光新能核心技术为零能耗光热调控（辐射制冷），侧重光谱设计和温控；迈默智塔核心技术为高导热辐射散热涂层，侧重导热和红外发射率。","精确匹配"
"西安中科天塔科技股份有限公司","卫星测运控软件、航天云立方平台、华山航天大模型","卫星智能操控与故障诊断；激光通信终端","长光卫星技术股份有限公司（吉林一号星座100+颗卫星管理）、上海航天技术研究院、中国科学院微小卫星创新研究院、银河航天、星际荣耀等商业卫星客户","卫星硬件供应商（测控站设备、星载计算机）","技术领先，国内最早从事卫星管理相关产品研发与产业化；核心团队航天经验平均20+年，曾管理我国200多颗在轨卫星，参与载人航天、探月工程等十余项重大航天工程系统研发。","商业航天、碳中和监测与治理、政府环境监管、工程建设管理、森林碳汇检测、碳交易数据服务。","卫星测运控服务；区域及行业CO2排放监测、预测与溯源；裸土扬尘源卫星遥感监测；大型工程项目进度高空遥感监测；企业和政府层面的碳达峰碳中和信息化平台。","森林碳汇检测、碳交易数据服务、更广泛的政府环境与资源监管、智慧城市基础设施建设监测。","提供软硬件产品、技术服务和系统集成解决方案。","具备卫星测运控系统、碳中和监测平台等软硬件产品及解决方案的交付能力，核心团队有重大航天工程系统研发经验。","高新技术企业（推断）；核心团队曾获国家科技进步二等奖、部委级科技进步奖逾30项、中国航天基金奖、中国载人航天工程突出贡献奖。","创始团队技术背景雄厚：总经理曾伟刚为前西安卫星测控中心软件室副主任；CTO董卫华为前西安卫星测控中心软件室主任；市场负责人景振龙有大型企业市场及项目经验。短板：原文未明确提及。","资金（处于A轮融资阶段）；市场拓展资源（将技术应用于更广泛的政府和商业场景）。","暂无（原文未提及）。","暂无（原文未提及具体竞争对手及技术差异）。","精确匹配"
"光宇元芯（杭州）光电有限责任公司","晶体外延技术；Nano LED半导体纳米级工艺；高精度晶圆键合；RGB单片整体集成","AR/VR微型显示芯片（Sub-Micro Micro LED，>30000PPI）","AR/VR智能眼镜厂商（Micro LED微显示芯片）；JBD等Micro LED模组厂商（合作开发SAG技术）；投资方：红杉中国、线性资本、华睿投资","GaN外延片/硅基衬底供应商","国内领先水平，处于可量产工艺阶段，部分环节需要额外补齐。","半导体、显示、消费电子、汽车电子、光通信、工业、医疗、安防监控、仪器仪表。","智能穿戴、高端手机/显示器/汽车智能座舱/高清电视、光通信光源。","- 元宇宙人机接口设备（AR、VR等）。","暂无明确信息，需进一步补充。","暂无明确信息，需额外补齐。","- 需要额外补齐   - 公司创始人拥有50多项在职专利申请成功或在审批过程中。","创始团队：公司由海外知名半导体公司、知名终端设备公司归国团队共同创办。创始人兼CEO于澜，曾任职IBM、Applied Materials，拥有多年海外研究经历及SAG底层技术创新与量产应用经验。COO杨韬，拥有UIUC电子工程学士、硕士及哥伦比亚大学商学院金融经济学硕士学位，曾任美国银行美林证券股票交易员，负责融资、政府关系、产线建设及供应链管理。 短板：暂无明确提及。","暂无（PDF原文及网络搜索结果均未明确提及），需要额外补齐。","近三年营收及利润信息：暂无公开数据。","暂无具体竞争对手及技术差异信息。","模糊匹配"
